tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes
tt0111161,movie,The Shawshank Redemption,1994,Drama,9.3,3020192
tt0468569,movie,The Dark Knight,2008,"Action,Crime,Drama",9.0,2996473
tt1375666,movie,Inception,2010,"Action,Adventure,Sci-Fi",8.8,2663209
tt0137523,movie,Fight Club,1999,Drama,8.8,2442449
tt0109830,movie,Forrest Gump,1994,"Drama,Romance",8.8,2361080
tt0110912,movie,Pulp Fiction,1994,"Crime,Drama",8.9,2317406
tt0816692,movie,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.7,2312177
tt0133093,movie,The Matrix,1999,"Action,Sci-Fi",8.7,2140061
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.9,2092544
tt0167260,movie,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",9.0,2063593
tt1345836,movie,The Dark Knight Rises,2012,"Action,Drama,Thriller",8.4,1900469
tt0114369,movie,Se7en,1995,"Crime,Drama,Mystery",8.6,1893887
tt0167261,movie,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.8,1859735
tt1853728,movie,Django Unchained,2012,Western,8.5,1775145
tt0361748,movie,Inglourious Basterds,2009,"Adventure,Drama,War",8.4,1666572
tt0372784,movie,Batman Begins,2005,"Action,Drama",8.2,1635941
tt0102926,movie,The Silence of the Lambs,1991,"Crime,Drama,Horror",8.6,1621254
tt0120815,movie,Saving Private Ryan,1998,"Drama,War",8.6,1558594
tt1130884,movie,Shutter Island,2010,"Drama,Mystery,Thriller",8.2,1535290
tt0108052,movie,Schindler's List,1993,"Biography,Drama,History",9.0,1511967
tt0482571,movie,The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5,1503529
tt0407887,movie,The Departed,2006,"Crime,Drama,Thriller",8.5,1477363
tt0120689,movie,The Green Mile,1999,"Crime,Drama,Fantasy",8.6,1474002
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,1430872
tt0088763,movie,Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5,1366768
tt4154796,movie,Avengers: Endgame,2019,"Action,Adventure,Sci-Fi",8.4,1340910
tt0099685,movie,Goodfellas,1990,"Biography,Crime,Drama",8.7,1314685
tt2015381,movie,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",8.0,1310005
tt0110413,movie,Léon: The Professional,1994,"Action,Crime,Drama",8.5,1294865
tt4154756,movie,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,1273693
tt0120382,movie,The Truman Show,1998,"Comedy,Drama",8.2,1266171
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy",8.1,1256884
tt0910970,movie,WALL·E,2008,"Adventure,Animation,Family",8.4,1251188
tt0169547,movie,American Beauty,1999,Drama,8.3,1243727
tt0266697,movie,Kill Bill: Vol. 1,2003,"Action,Crime,Thriller",8.2,1242532
tt0120586,movie,American History X,1998,"Crime,Drama",8.5,1225016
tt0103064,movie,Terminator 2: Judgment Day,1991,"Action,Adventure,Sci-Fi",8.6,1223436
tt0434409,movie,V for Vendetta,2005,"Action,Drama,Sci-Fi",8.1,1209665
tt1431045,movie,Deadpool,2016,"Action,Comedy,Sci-Fi",8.0,1197584
tt0110357,movie,The Lion King,1994,"Adventure,Animation,Drama",8.5,1193824
tt0114814,movie,The Usual Suspects,1995,"Crime,Drama,Mystery",8.5,1183418
tt1049413,movie,Up,2009,"Adventure,Animation,Comedy",8.3,1172530
tt0081505,movie,The Shining,1980,"Drama,Horror",8.4,1159006
tt1392190,movie,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",8.1,1157741
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,1157163
tt0266543,movie,Finding Nemo,2003,"Adventure,Animation,Comedy",8.2,1152397
tt0338013,movie,Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,1128517
tt0119217,movie,Good Will Hunting,1997,"Drama,Romance",8.3,1127577
tt0105236,movie,Reservoir Dogs,1992,"Crime,Thriller",8.3,1125914
tt0114709,movie,Toy Story,1995,"Adventure,Animation,Comedy",8.3,1114315
tt2267998,movie,Gone Girl,2014,"Drama,Mystery,Thriller",8.1,1113229
tt0477348,movie,No Country for Old Men,2007,"Crime,Drama,Thriller",8.2,1112735
tt0107290,movie,Jurassic Park,1993,"Action,Adventure,Sci-Fi",8.2,1110593
tt0082971,movie,Raiders of the Lost Ark,1981,"Action,Adventure",8.4,1068428
tt1392170,movie,The Hunger Games,2012,"Action,Adventure,Sci-Fi",7.2,1035425
tt0198781,movie,"Monsters, Inc.",2001,"Adventure,Animation,Comedy",8.1,1020301
tt0268978,movie,A Beautiful Mind,2001,"Biography,Drama,Mystery",8.2,1016993
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,995100
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,989719
tt0095016,movie,Die Hard,1988,"Action,Thriller",8.2,984927
tt1675434,movie,The Intouchables,2011,"Comedy,Drama",8.5,970802
tt3659388,movie,The Martian,2015,"Adventure,Drama,Sci-Fi",8.0,961996
tt0088247,movie,The Terminator,1984,"Action,Adventure,Sci-Fi",8.1,958467
tt2395427,movie,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",7.3,953944
tt1160419,movie,Dune: Part One,2021,"Action,Adventure,Drama",8.0,946903
tt10872600,movie,Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.2,939259
tt0180093,movie,Requiem for a Dream,2000,Drama,8.3,933004
tt1843866,movie,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",7.7,928428
tt0800369,movie,Thor,2011,"Action,Fantasy",7.0,927928
tt1300854,movie,Iron Man 3,2013,"Action,Adventure,Sci-Fi",7.1,926678
tt0458339,movie,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,926671
tt0435761,movie,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,925388
tt2278388,movie,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime",8.1,920720
tt0145487,movie,Spider-Man,2002,"Action,Adventure,Sci-Fi",7.4,916279
tt0245429,movie,Spirited Away,2001,"Adventure,Animation,Family",8.6,900187
tt0903624,movie,The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",7.8,898955
tt7131622,movie,Once Upon a Time... in Hollywood,2019,"Comedy,Drama",7.6,898066
tt0241527,movie,Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",7.7,897991
tt1228705,movie,Iron Man 2,2010,"Action,Sci-Fi",6.9,897334
tt1010048,movie,Slumdog Millionaire,2008,"Crime,Drama,Romance",8.0,893020
tt0416449,movie,300,2006,"Action,Drama",7.6,886879
tt0118715,movie,The Big Lebowski,1998,"Comedy,Crime",8.1,885984
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,1999,"Action,Adventure,Fantasy",6.5,885631
tt3498820,movie,Captain America: Civil War,2016,"Action,Sci-Fi",7.8,882729
tt1119646,movie,The Hangover,2009,Comedy,7.7,880514
tt0246578,movie,Donnie Darko,2001,"Drama,Mystery,Sci-Fi",8.0,877539
tt0382932,movie,Ratatouille,2007,"Adventure,Animation,Comedy",8.1,876217
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy",7.6,873466
tt1825683,movie,Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,867753
tt15398776,movie,Oppenheimer,2023,"Biography,Drama,History",8.3,865438
tt1877830,movie,The Batman,2022,"Action,Crime,Drama",7.8,862197
tt0083658,movie,Blade Runner,1982,"Action,Drama,Sci-Fi",8.1,849618
tt2084970,movie,The Imitation Game,2014,"Biography,Drama,Thriller",8.0,849223
tt3501632,movie,Thor: Ragnarok,2017,"Action,Adventure,Comedy",7.9,849042
tt0317705,movie,The Incredibles,2004,"Action,Adventure,Animation",8.0,848035
tt0480249,movie,I Am Legend,2007,"Drama,Horror,Sci-Fi",7.2,844657
tt1211837,movie,Doctor Strange,2016,"Action,Adventure,Fantasy",7.5,837307
tt0892769,movie,How to Train Your Dragon,2010,"Action,Adventure,Animation",8.1,836621
tt1205489,movie,Gran Torino,2008,Drama,8.1,835362
tt0097576,movie,Indiana Jones and the Last Crusade,1989,"Action,Adventure",8.2,834199
tt0378194,movie,Kill Bill: Vol. 2,2004,"Action,Crime,Thriller",8.0,833396
tt0317248,movie,City of God,2002,"Crime,Drama",8.6,832206
tt0093058,movie,Full Metal Jacket,1987,"Drama,War",8.2,816644
tt0211915,movie,Amélie,2001,"Comedy,Romance",8.3,814842
tt2543164,movie,Arrival,2016,"Drama,Mystery,Sci-Fi",7.9,810361
tt0090605,movie,Aliens,1986,"Action,Adventure,Horror",8.4,804232
